Time,X,Y,Z
1.350000000000000366e-01,5.457120665507062540e+00,1.253144347938657788e+01,2.509769446618225430e+00
1.400000000000000411e-01,5.898003909867870043e+00,1.352564845185839815e+01,2.826187155124998629e+00
1.450000000000000455e-01,6.373148862305743734e+00,1.458964530608190380e+01,3.197132532371059099e+00
1.500000000000000500e-01,6.884703509037214175e+00,1.572603392911381093e+01,3.631166199926583626e+00
1.550000000000000544e-01,7.434825603957342821e+00,1.693681679501781545e+01,4.138034203029147484e+00
1.600000000000000588e-01,8.025640642498656163e+00,1.822316381665568841e+01,4.728770207249685775e+00
1.650000000000000633e-01,8.659187001753311463e+00,1.958512190360768557e+01,5.415781551077463618e+00
1.700000000000000677e-01,9.337345540055785875e+00,2.102126134141668246e+01,6.212906395080496580e+00
1.750000000000000722e-01,1.006175067056086014e+01,2.252825206556083870e+01,7.135424744106746431e+00
1.800000000000000766e-01,1.083367975382714299e+01,2.410036521444825652e+01,8.200000784452935676e+00
1.850000000000000810e-01,1.165391768411065776e+01,2.572889963422783666e+01,9.424527917717705705e+00
1.900000000000000855e-01,1.252259389845630189e+01,2.740154003982593167e+01,1.082784147771069705e+01
1.950000000000000899e-01,1.343898988261975447e+01,2.910166417040790776e+01,1.242925815358990782e+01
2.000000000000000944e-01,1.440131678966134920e+01,3.080763134679621729e+01,1.424789691131759639e+01
2.050000000000000988e-01,1.540646526248145598e+01,3.249210492085010316e+01,1.630173569510667519e+01
2.100000000000001033e-01,1.644973320076277901e+01,3.412148614340053854e+01,1.860636417858622238e+01
2.150000000000001077e-01,1.752454222652227855e+01,3.565556571694638421e+01,2.117340883678722108e+01
2.200000000000001121e-01,1.862216003539687392e+01,3.704752859405189014e+01,2.400863652494281908e+01
2.250000000000001166e-01,1.973145346698454006e+01,3.824447165810477856e+01,2.710979003179891933e+01
2.300000000000001210e-01,2.083870536667390638e+01,3.918860390808634264e+01,3.046427525655592916e+01
2.350000000000001255e-01,2.192753595510594877e+01,3.981928295932124229e+01,3.404690221591673094e+01
2.400000000000001299e-01,2.297897462142128333e+01,4.007598716533096450e+01,3.781797194334070156e+01
2.450000000000001343e-01,2.397172836819257569e+01,3.990221894245156875e+01,4.172208083644105159e+01
2.500000000000001110e-01,2.488268584905657121e+01,3.925017942962993800e+01,4.568805677993921677e+01
2.550000000000001155e-01,2.568767875693600189e+01,3.808585963167151078e+01,4.963041594351877706e+01
2.600000000000001199e-01,2.636249435779287964e+01,3.639399077352709355e+01,5.345260752802258963e+01
2.650000000000001243e-01,2.688409586043371036e+01,3.418213855478926178e+01,5.705208445416368335e+01
2.700000000000001288e-01,2.723196600261642075e+01,3.148317447308594907e+01,6.032691995855927303e+01
2.750000000000001332e-01,2.738945182541608858e+01,2.835546522610128406e+01,6.318334016970971589e+01
2.800000000000001377e-01,2.734496492003295032e+01,2.488040680268565197e+01,6.554324956448199657e+01
2.850000000000001421e-01,2.709289024389777722e+01,2.115735726678439121e+01,6.735068622197536570e+01
2.900000000000001465e-01,2.663408238622482926e+01,1.729649928225640565e+01,6.857622537414258090e+01
2.950000000000001510e-01,2.597587862731262831e+01,1.341056523440681936e+01,6.921865995356752421e+01
3.000000000000001554e-01,2.513162392650449561e+01,9.606569768130986731e+00,6.930375892502584634e+01
3.050000000000001599e-01,2.411977003294745003e+01,5.978656596482265329e+00,6.888041609225803086e+01
3.100000000000001643e-01,2.296266476313131477e+01,2.602896566870236850e+00,6.801491985857786915e+01
3.150000000000001688e-01,2.168517769479738888e+01,-4.655407569448053451e-01,6.678430061426871589e+01
3.200000000000001732e-01,2.031331150055822121e+01,-3.192859684340935811e+00,6.526971647284403844e+01
3.250000000000001776e-01,1.887292731999122708e+01,-5.565130370425960926e+00,6.355065698742404834e+01
3.300000000000001821e-01,1.738867624904935738e+01,-7.585387096845625621e+00,6.170045801115507800e+01
3.350000000000001865e-01,1.588318714080562266e+01,-9.269975633966174300e+00,5.978331693403318781e+01
3.400000000000001910e-01,1.437652208537098453e+01,-1.064472402325228906e+01,5.785274404707698181e+01
3.450000000000001954e-01,1.288588075867688687e+01,-1.174136983274585866e+01,5.595121772415909334e+01
